"","date","gdpeu2"
"1",1999,1638790.6
"2",1999.08333333333,1643449.7270536
"3",1999.16666666667,1648142.08960307
"4",1999.25,1653535.7
"5",1999.33333333333,1660132.03571485
"6",1999.41666666667,1667766.43469335
"7",1999.5,1676107.7
"8",1999.58333333333,1684843.98193882
"9",1999.66666666667,1693740.81977171
"10",1999.75,1702583.1
"11",1999.83333333333,1711188.91060391
"12",1999.91666666667,1719509.1454791
"13",2000,1727527.9
"14",2000.08333333333,1735235.53490476
"15",2000.16666666667,1742647.47238602
"16",2000.25,1749785.4
"17",2000.33333333333,1756650.46829553
"18",2000.41666666667,1763161.67979168
"19",2000.5,1769217.5
"20",2000.58333333333,1774919.73635751
"21",2000.66666666667,1781183.56400285
"22",2000.75,1789127.5
"23",2000.83333333333,1799325.99368178
"24",2000.91666666667,1810177.22345621
"25",2001,1819535.3
"26",2001.08333333333,1825850.6666931
"27",2001.16666666667,1829959.09772792
"28",2001.25,1833292.7
"29",2001.33333333333,1837020.62102728
"30",2001.41666666667,1841260.17081731
"31",2001.5,1845865.7
"32",2001.58333333333,1850729.97882738
"33",2001.66666666667,1855899.45603989
"34",2001.75,1861459
"35",2001.83333333333,1867398.82292242
"36",2001.91666666667,1873330.51243058
"37",2002,1878771
"38",2002.08333333333,1883470.78874215
"39",2002.16666666667,1888114.66831191
"40",2002.25,1893621
"41",2002.33333333333,1900551.2739608
"42",2002.41666666667,1908039.49580329
"43",2002.5,1914862.8
"44",2002.58333333333,1920084.62652571
"45",2002.66666666667,1923913.63736385
"46",2002.75,1926844.8
"47",2002.83333333333,1929306.186603
"48",2002.91666666667,1931458.28807466
"49",2003,1933394.7
"50",2003.08333333333,1935388.1566919
"51",2003.16666666667,1938427.94737456
"52",2003.25,1943682.5
"53",2003.33333333333,1951791.6051479
"54",2003.41666666667,1961280.50390859
"55",2003.5,1970145.8
"56",2003.58333333333,1976930.80790165
"57",2003.66666666667,1982365.68513925
"58",2003.75,1987727.3
"59",2003.83333333333,1994025.22620842
"60",2003.91666666667,2001199.85923814
"61",2004,2008924.3
"62",2004.08333333333,2016829.47985722
"63",2004.16666666667,2024377.6519823
"64",2004.25,2030988.9
"65",2004.33333333333,2036344.34695526
"66",2004.41666666667,2041169.27357345
"67",2004.5,2046450
"68",2004.58333333333,2052813.43972911
"69",2004.66666666667,2059448.87964986
"70",2004.75,2065186.2
"71",2004.83333333333,2069311.25338752
"72",2004.91666666667,2072933.7819012
"73",2005,2077619.5
"74",2005.08333333333,2084466.83190597
"75",2005.16666666667,2092705.0408935
"76",2005.25,2101096.1
"77",2005.33333333333,2108753.53750709
"78",2005.41666666667,2116197.10267299
"79",2005.5,2124298.1
"80",2005.58333333333,2133618.62917674
"81",2005.66666666667,2143483.97063682
"82",2005.75,2152910.2
"83",2005.83333333333,2161298.66800812
"84",2005.91666666667,2169591.82589091
"85",2006,2179117.4
"86",2006.08333333333,2190680.3765685
"87",2006.16666666667,2202994.78135516
"88",2006.25,2214251.9
"89",2006.33333333333,2223234.81460669
"90",2006.41666666667,2231093.79313296
"91",2006.5,2239570.9
"92",2006.58333333333,2250008.2761158
"93",2006.66666666667,2262148.36833528
"94",2006.75,2275333.7
"95",2006.83333333333,2288868.2290782
"96",2006.91666666667,2301901.6520445
"97",2007,2313545.1
"98",2007.08333333333,2323178.44831206
"99",2007.16666666667,2331256.54941269
"100",2007.25,2338503
"101",2007.33333333333,2345606.05174758
"102",2007.41666666667,2353112.57623071
"103",2007.5,2361534.1
"104",2007.58333333333,2371159.7706235
"105",2007.66666666667,2381389.21973861
"106",2007.75,2391399.7
"107",2007.83333333333,2400436.72872134
"108",2007.91666666667,2408018.88185195
"109",2008,2413733
"110",2008.08333333333,2417297.13300962
"111",2008.16666666667,2418954.16766844
"112",2008.25,2419078.2
"113",2008.33333333333,2417974.61331425
"114",2008.41666666667,2415673.94006688
"115",2008.5,2412138
"116",2008.58333333333,2406909.00262227
"117",2008.66666666667,2397850.71650846
"118",2008.75,2382407.3
"119",2008.83333333333,2359648.36508562
"120",2008.91666666667,2335145.33834364
"121",2009,2316095.1
"122",2009.08333333333,2307727.81110944
"123",2009.16666666667,2307406.75604281
"124",2009.25,2310528.5
"125",2009.33333333333,2313453.50899519
"126",2009.41666666667,2316397.85229991
"127",2009.5,2320541.5
"128",2009.58333333333,2326561.46031719
"129",2009.66666666667,2333122.89401681
"130",2009.75,2338388
"131",2009.83333333333,2341266.60158786
"132",2009.91666666667,2343659.01978103
"133",2010,2348213.2
"134",2010.08333333333,2356694.88518319
"135",2010.16666666667,2367341.00834059
"136",2010.25,2377506.3
"137",2010.33333333333,2385184.63545712
"138",2010.41666666667,2390926.46907888
"139",2010.5,2395921.4
"140",2010.58333333333,2401231.376692
"141",2010.66666666667,2407407.74497354
"142",2010.75,2414874.2
"143",2010.83333333333,2423674.74296004
"144",2010.91666666667,2432334.59917516
"145",2011,2438999.3
"146",2011.08333333333,2442442.10331966
"147",2011.16666666667,2443947.17314068
"148",2011.25,2445426.4
"149",2011.33333333333,2448258.77339095
"150",2011.41666666667,2451691.6786325
"151",2011.5,2454439.6
"152",2011.58333333333,2455590.09200542
"153",2011.66666666667,2455722.99010711
"154",2011.75,2455791.2
"155",2011.83333333333,2456485.13266144
"156",2011.91666666667,2457445.22019834
"157",2012,2458049.4
"158",2012.08333333333,2457901.50697845
"159",2012.16666666667,2457508.96613658
"160",2012.25,2457605.1
"161",2012.33333333333,2458665.63942477
"162",2012.41666666667,2460135.94858869
"163",2012.5,2461203.8
