"","date","gdpch2"
"1",1999,106999.5
"2",1999.08333333333,107262.550432548
"3",1999.16666666667,107549.429989058
"4",1999.25,107811.9
"5",1999.33333333333,108036.019349027
"6",1999.41666666667,108345.037132511
"7",1999.5,108896.5
"8",1999.58333333333,109778.568467638
"9",1999.66666666667,110801.858517939
"10",1999.75,111707.6
"11",1999.83333333333,112305.65122486
"12",1999.91666666667,112680.384351292
"13",2000,112984.8
"14",2000.08333333333,113337.556262548
"15",2000.16666666667,113719.941113931
"16",2000.25,114078.9
"17",2000.33333333333,114384.738539761
"18",2000.41666666667,114701.203044837
"19",2000.5,115115.4
"20",2000.58333333333,115673.459948776
"21",2000.66666666667,116257.609669687
"22",2000.75,116709.1
"23",2000.83333333333,116924.592035504
"24",2000.91666666667,117022.387906049
"25",2001,117176.2
"26",2001.08333333333,117499.764501799
"27",2001.16666666667,117866.912780192
"28",2001.25,118091.5
"29",2001.33333333333,118044.92032767
"30",2001.41666666667,117828.723936146
"31",2001.5,117602
"32",2001.58333333333,117484.509743079
"33",2001.66666666667,117438.702586336
"34",2001.75,117387.7
"35",2001.83333333333,117279.148107423
"36",2001.91666666667,117158.791644438
"37",2002,117096.9
"38",2002.08333333333,117142.905234638
"39",2002.16666666667,117262.890095173
"40",2002.25,117402.1
"41",2002.33333333333,117512.956879952
"42",2002.41666666667,117576.588715613
"43",2002.5,117581.3
"44",2002.58333333333,117522.163541849
"45",2002.66666666667,117421.325412748
"46",2002.75,117307.7
"47",2002.83333333333,117209.159323023
"48",2002.91666666667,117149.405929692
"49",2003,117151.1
"50",2003.08333333333,117234.051017912
"51",2003.16666666667,117406.665683297
"52",2003.25,117674.5
"53",2003.33333333333,118037.855123848
"54",2003.41666666667,118476.012818601
"55",2003.5,118963
"56",2003.58333333333,119471.44330151
"57",2003.66666666667,119968.368227485
"58",2003.75,120419.4
"59",2003.83333333333,120797.634633074
"60",2003.91666666667,121106.051308497
"61",2004,121355.1
"62",2004.08333333333,121558.973721749
"63",2004.16666666667,121746.83764964
"64",2004.25,121951.6
"65",2004.33333333333,122193.848257708
"66",2004.41666666667,122444.886981835
"67",2004.5,122663.7
"68",2004.58333333333,122827.962877049
"69",2004.66666666667,122990.118126726
"70",2004.75,123221.3
"71",2004.83333333333,123571.878011873
"72",2004.91666666667,124009.162733484
"73",2005,124479.7
"74",2005.08333333333,124943.113964345
"75",2005.16666666667,125411.342050451
"76",2005.25,125909.4
"77",2005.33333333333,126454.780945559
"78",2005.41666666667,127034.887583232
"79",2005.5,127629.6
"80",2005.58333333333,128229.147438599
"81",2005.66666666667,128865.155764771
"82",2005.75,129579.6
"83",2005.83333333333,130391.140411151
"84",2005.91666666667,131225.178246577
"85",2006,131983.8
"86",2006.08333333333,132596.431657534
"87",2006.16666666667,133101.857174849
"88",2006.25,133566.2
"89",2006.33333333333,134048.807032784
"90",2006.41666666667,134581.918979954
"91",2006.5,135191
"92",2006.58333333333,135892.177248365
"93",2006.66666666667,136664.2298683
"94",2006.75,137476.6
"95",2006.83333333333,138302.90249227
"96",2006.91666666667,139133.443028331
"97",2007,139962.7
"98",2007.08333333333,140782.935004773
"99",2007.16666666667,141577.542462826
"100",2007.25,142327.7
"101",2007.33333333333,143024.920451597
"102",2007.41666666667,143702.05749074
"103",2007.5,144402.3
"104",2007.58333333333,145148.849855501
"105",2007.66666666667,145884.960907552
"106",2007.75,146533.9
"107",2007.83333333333,147051.028274541
"108",2007.91666666667,147520.08406424
"109",2008,148056.9
"110",2008.08333333333,148735.348157441
"111",2008.16666666667,149461.458391045
"112",2008.25,150099.3
"113",2008.33333333333,150525.834651247
"114",2008.41666666667,150669.593482695
"115",2008.5,150472
"116",2008.58333333333,149908.805830164
"117",2008.66666666667,149093.075085581
"118",2008.75,148172.2
"119",2008.83333333333,147283.930916988
"120",2008.91666666667,146527.450619419
"121",2009,145992.3
"122",2009.08333333333,145746.951983368
"123",2009.16666666667,145775.607621923
"124",2009.25,146041.4
"125",2009.33333333333,146488.750038428
"126",2009.41666666667,146987.230004001
"127",2009.5,147387.7
"128",2009.58333333333,147595.866381436
"129",2009.66666666667,147736.820510223
"130",2009.75,147990.5
"131",2009.83333333333,148481.254806197
"132",2009.91666666667,149111.084251405
"133",2010,149726.4
"134",2010.08333333333,150208.510690069
"135",2010.16666666667,150578.312854529
"136",2010.25,150891.6
"137",2010.33333333333,151201.713544634
"138",2010.41666666667,151552.186552702
"139",2010.5,151984.1
"140",2010.58333333333,152513.516612872
"141",2010.66666666667,153056.426119849
"142",2010.75,153503.8
"143",2010.83333333333,153784.842226096
"144",2010.91666666667,153981.686745683
"145",2011,154214.7
"146",2011.08333333333,154555.451519779
"147",2011.16666666667,154880.323193716
"148",2011.25,155016.9
"149",2011.33333333333,154859.696139233
"150",2011.41666666667,154570.942701674
"151",2011.5,154379.8
"152",2011.58333333333,154454.049108476
"153",2011.66666666667,154715.954147735
"154",2011.75,155026.4
"155",2011.83333333333,155265.981500938
"156",2011.91666666667,155394.133299981
"157",2012,155390
"158",2012.08333333333,155259.51377666
"159",2012.16666666667,155115.757096787
"160",2012.25,155098.6
"161",2012.33333333333,155305.622651681
"162",2012.41666666667,155665.245720278
"163",2012.5,156063.6
"164",2012.58333333333,156403.154875873
"165",2012.66666666667,156651.734096176
"166",2012.75,156793.5
"167",2012.83333333333,156838.083770751
"168",2012.91666666667,156896.991969092
"169",2013,157107.2
"170",2013.08333333333,157555.573004086
"171",2013.16666666667,158128.535064495
"172",2013.25,158662.4
"173",2013.33333333333,159029.976064754
