"CubeId";"zimoma"
"PublishingDate";"2017-03-01 14:30"

"Date";"D0";"Value"
"2013-08";"1TGT";"-0.2"
"2013-09";"1TGT";"-0.05"
"2013-10";"1TGT";"-0.15"
"2013-11";"1TGT";"-0.08"
"2013-12";"1TGT";"0.01"
"2014-01";"1TGT";"-0.12"
"2014-02";"1TGT";"-0.15"
"2014-03";"1TGT";"-0.15"
"2014-04";"1TGT";"-0.15"
"2014-05";"1TGT";"-0.16"
"2014-06";"1TGT";"-0.15"
"2014-07";"1TGT";"-0.15"
"2014-08";"1TGT";"-0.1"
"2014-09";"1TGT";"-0.1"
"2014-10";"1TGT";"-0.1"
"2014-11";"1TGT";"-0.1"
"2014-12";"1TGT";"-2"
"2015-01";"1TGT";"-1.75"
"2015-02";"1TGT";"-1"
"2015-03";"1TGT";"-1.5"
"2015-04";"1TGT";"-1"
"2015-05";"1TGT";"-1.25"
"2015-06";"1TGT";"-1.15"
"2015-07";"1TGT";"-1"
"2015-08";"1TGT";"-1.25"
"2015-09";"1TGT";"-1"
"2015-10";"1TGT";"-0.9"
"2015-11";"1TGT";"-1.1"
"2015-12";"1TGT";"-1"
"2016-01";"1TGT";"-1"
"2016-02";"1TGT";"-0.85"
"2016-03";"1TGT";"-1.1"
"2016-04";"1TGT";"-1"
"2016-05";"1TGT";"-1.25"
"2016-06";"1TGT";"-1.75"
"2016-07";"1TGT";"-1"
"2016-08";"1TGT";"-3.65"
"2016-09";"1TGT";"-0.95"
"2016-10";"1TGT";"-0.85"
"2016-11";"1TGT";"-0.9"
"2016-12";"1TGT";"-0.9"
"2017-01";"1TGT";"-0.9"
