"CubeId";"snbbipo"
"PublishingDate";"2017-02-28 09:00"

"Date";"D0";"Value"
"2001-03";"D";"49456.31715671"
"2001-03";"RIWF";"2149.31617973"
"2001-03";"W";"357.01548889"
"2001-03";"WSF";"5648.77643651"
"2001-03";"UA";"1164.8327702"
"2001-03";"T0";"112209.76209034"
"2001-04";"GFG";"33908.16781474"
"2001-04";"D";"51072.71381816"
"2001-04";"RIWF";"2094.77233035"
"2001-04";"W";"357.01548889"
"2001-04";"WSF";"5707.39748685"
"2001-04";"UA";"1113.10439973"
"2001-04";"T0";"111220.43014622"
"2001-05";"GFG";"33655.33760264"
"2001-05";"D";"50967.776678"
"2001-05";"RIWF";"2242.06899301"
"2001-05";"W";"357.01548889"
"2001-05";"WSF";"5693.58533452"
"2001-05";"UA";"1308.22478364"
"2001-05";"T0";"113815.29517697"
"2001-06";"GFG";"36220.07709076"
"2001-06";"D";"50673.97811334"
"2001-06";"RIWF";"2278.93066361"
"2001-06";"W";"366.75853538"
"2001-06";"WSF";"5667.26091243"
"2001-06";"UA";"1136.50104449"
"2001-06";"T0";"121655.99208087"
"2001-07";"GFG";"35956.02282864"
"2001-07";"D";"50590.90910467"
"2001-07";"RIWF";"2474.26559498"
"2001-07";"W";"366.75853538"
"2001-07";"WSF";"5667.84155353"
"2001-07";"UA";"1156.42323829"
"2001-07";"T0";"115182.91061581"
"2001-08";"GFG";"35696.32070986"
"2001-08";"D";"51848.90326499"
"2001-08";"RIWF";"2411.09890792"
"2001-08";"W";"366.75853538"
"2001-08";"WSF";"5820.29026137"
"2001-08";"UA";"1104.27251174"
"2001-08";"T0";"116828.50482323"
"2001-09";"GFG";"34291.85920404"
"2001-09";"D";"49403.14163881"
"2001-09";"RIWF";"2598.38577235"
"2001-09";"W";"339.18796824"
"2001-09";"WSF";"5968.94135198"
"2001-09";"UA";"1347.0694183"
"2001-09";"T0";"114516.39625982"
"2001-10";"GFG";"33909.28267543"
"2001-10";"D";"49716.6573682"
"2001-10";"RIWF";"2588.24237088"
"2001-10";"W";"339.18796824"
"2001-10";"WSF";"6005.09275524"
"2001-10";"UA";"1502.44423402"
"2001-10";"T0";"109337.60956934"
"2001-11";"GFG";"33547.95157213"
"2001-11";"D";"49751.26875564"
"2001-11";"RIWF";"2450.41306201"
"2001-11";"W";"339.18796824"
"2001-11";"WSF";"6082.80857764"
"2001-11";"UA";"1370.44206475"
"2001-11";"T0";"110635.36953339"
"2001-12";"GFG";"32982.36378009"
"2001-12";"D";"50580.83552764"
"2001-12";"RIWF";"2665.71592877"
"2001-12";"W";"347.17724891"
"2001-12";"WSF";"5999.9919545"
"2001-12";"UA";"1115.02877235"
"2001-12";"T0";"120153.13580361"
"2002-01";"GFG";"32608.2552145"
"2002-01";"D";"50729.4754433"
"2002-01";"RIWF";"2665.81592877"
"2002-01";"W";"347.17724891"
"2002-01";"WSF";"6056.54039633"
"2002-01";"UA";"1143.07807718"
"2002-01";"T0";"113399.31805723"
"2002-02";"GFG";"32246.65022013"
"2002-02";"D";"50575.08042108"
"2002-02";"RIWF";"2679.58254149"
"2002-02";"W";"347.17724891"
"2002-02";"WSF";"5930.76025303"
"2002-02";"UA";"1209.15566759"
"2002-02";"T0";"112117.39415068"
"2002-03";"GFG";"34906.21089005"
"2002-03";"D";"51130.60501741"
"2002-03";"RIWF";"2561.98182663"
"2002-03";"W";"340.59021734"
"2002-03";"WSF";"5949.75348066"
"2002-03";"UA";"1124.41358181"
"2002-03";"T0";"118808.69839352"
"2002-04";"GFG";"34523.94403328"
"2002-04";"D";"48402.59201598"
"2002-04";"RIWF";"2652.0166976"
"2002-04";"W";"340.59021734"
"2002-04";"WSF";"6075.19274191"
"2002-04";"UA";"1128.80759404"
"2002-04";"T0";"115638.06538989"
"2002-05";"GFG";"34125.19235747"
"2002-05";"D";"49940.57218617"
"2002-05";"RIWF";"2494.53920296"
"2002-05";"W";"340.59021734"
"2002-05";"WSF";"6165.26586995"
"2002-05";"UA";"1140.26999284"
"2002-05";"T0";"119786.01763729"
"2002-06";"GFG";"31396.92942376"
"2002-06";"D";"49408.94859733"
"2002-06";"RIWF";"2746.46404273"
"2002-06";"W";"324.38846295"
"2002-06";"WSF";"6375.51489897"
"2002-06";"UA";"1567.26926124"
"2002-06";"T0";"122430.63920241"
"2002-07";"GFG";"31009.62035527"
"2002-07";"D";"50973.26903829"
"2002-07";"RIWF";"2653.96113099"
"2002-07";"W";"324.38846295"
"2002-07";"WSF";"6445.09870666"
"2002-07";"UA";"1594.19424657"
"2002-07";"T0";"115995.67759388"
"2002-08";"GFG";"30657.05636213"
"2002-08";"D";"49968.81833698"
"2002-08";"RIWF";"2693.66391507"
"2002-08";"W";"324.38846295"
"2002-08";"WSF";"6619.82378836"
"2002-08";"UA";"1600.4058615"
"2002-08";"T0";"116726.33716394"
"2002-09";"GFG";"30704.00026096"
"2002-09";"D";"52866.97696139"
"2002-09";"RIWF";"2653.73006427"
"2002-09";"W";"322.960635"
"2002-09";"WSF";"6893.43135495"
"2002-09";"UA";"1220.97483855"
"2002-09";"T0";"122244.42193898"
"2002-10";"GFG";"30310.55252391"
"2002-10";"D";"53990.5557045"
"2002-10";"RIWF";"2653.73006427"
"2002-10";"W";"322.960635"
"2002-10";"WSF";"6987.05041607"
"2002-10";"UA";"1221.67110691"
"2002-10";"T0";"118787.10336878"
"2002-11";"GFG";"29943.93211307"
"2002-11";"D";"54414.19961287"
"2002-11";"RIWF";"2618.58031886"
"2002-11";"W";"322.960635"
"2002-11";"WSF";"6955.91254164"
"2002-11";"UA";"1289.52165368"
"2002-11";"T0";"117548.64634514"
"2002-12";"GFG";"29339.5984547"
"2002-12";"D";"52941.1847025"
"2002-12";"RIWF";"2669.82903421"
"2002-12";"W";"316.46801966"
"2002-12";"WSF";"7018.3538278"
"2002-12";"UA";"1587.86408016"
"2002-12";"T0";"121983.25292975"
"2003-01";"GFG";"28960.99354455"
"2003-01";"D";"54014.10483129"
"2003-01";"RIWF";"2632.95746073"
"2003-01";"W";"316.46172761"
"2003-01";"WSF";"7018.54461213"
"2003-01";"UA";"1733.48756738"
"2003-01";"T0";"114137.10707685"
"2003-02";"GFG";"28630.49094321"
"2003-02";"D";"53270.52416651"
"2003-02";"RIWF";"2632.95746073"
"2003-02";"W";"312.64395998"
"2003-02";"WSF";"7136.76071366"
"2003-02";"UA";"2153.09463328"
"2003-02";"T0";"114605.89077949"
"2003-03";"GFG";"27075.58150704"
"2003-03";"D";"53577.68358746"
"2003-03";"RIWF";"2615.7433578"
"2003-03";"W";"305.8003734"
"2003-03";"WSF";"7138.2390783"
"2003-03";"UA";"1373.06065174"
"2003-03";"T0";"115954.06963627"
"2003-04";"GFG";"26715.61371492"
"2003-04";"D";"52860.49607938"
"2003-04";"RIWF";"2774.57406136"
"2003-04";"W";"313.40478132"
"2003-04";"WSF";"7264.98839507"
"2003-04";"UA";"1384.58462438"
"2003-04";"T0";"114838.41707849"
"2003-05";"GFG";"26367.04945846"
"2003-05";"D";"52869.11135497"
"2003-05";"RIWF";"2745.21157603"
"2003-05";"W";"313.40478132"
"2003-05";"WSF";"7357.81418958"
"2003-05";"UA";"1402.75977597"
"2003-05";"T0";"120143.90882886"
"2003-06";"GFG";"26806.24953463"
"2003-06";"D";"56197.94117066"
"2003-06";"RIWF";"2941.05636305"
"2003-06";"W";"327.61978034"
"2003-06";"WSF";"7499.5846821"
"2003-06";"UA";"1291.99892388"
"2003-06";"T0";"125758.72528347"
"2003-07";"GFG";"26390.66715141"
"2003-07";"D";"59286.92389091"
"2003-07";"RIWF";"2734.31543253"
"2003-07";"W";"352.27327782"
"2003-07";"WSF";"7629.21365896"
"2003-07";"UA";"1323.10974426"
"2003-07";"T0";"125029.28677791"
"2003-08";"GFG";"26052.8380399"
"2003-08";"D";"58415.33404023"
