Date,ChfEuroExchangerateMonthlyAverage,ChfEuroExchangerateMonthlyEnd,ChfDollarExchangerateMonthlyAverage,ChfDollarExchangerateMonthlyEnd,ForeignCurrencyInvestments,GoldHoldings,ReservePositionsIMF,CHFsecurities,MonetaryAssistanceLoans,OtherAssets,TotalAssets,ConsumerPriceIndex,BusinessConfidenceIndex,CallMoneyRate,EuroGDP,SwissGDP
2007-04,1.6374,1.6435,1.2116,1.2089,44733.35382099,33515.86767422,486.39345702,4546.67650866,240.82614933,789.02434298,107134.52535075,0.4539854,102.4451,2.1,2338503,142327.7
2007-05,1.65,1.647,1.221,1.2253,44908.54014409,33527.10420611,490.99707271,4523.69472522,239.56690493,788.11955189,105649.831821,0.4879854,102.2969,2.18,2345606.05174758,143024.920451597
2007-06,1.6542,1.6568,1.2332,1.2315,46274.06526456,32730.97154895,462.53540862,4427.16737605,241.82775104,846.57281726,109440.76961121,0.6308945,102.327,2.56,2353112.57623071,143702.05749074
2007-07,1.6567,1.6504,1.2076,1.2038,47095.40601818,31814.0580464,440.2977676,4342.0557049,241.83887159,816.2865022,106198.5084201,0.7202842,102.3828,2.5,2361534.1,144402.3
2007-08,1.6377,1.6467,1.2027,1.2059,48124.91170056,30942.76114906,428.82407355,4314.33650184,241.83887159,816.3110392,107077.30733973,0.4357687,102.3917,2.35,2371159.7706235,145148.849855501
2007-09,1.6475,1.6594,1.1861,1.1712,49487.11346477,32930.15808336,424.5469756,4351.3563921,243.73633152,851.72849778,111439.39727089,0.7470757,102.3576,2.2,2381389.21973861,145884.960907552
2007-10,1.6704,1.6735,1.1742,1.1588,49623.1045618,32588.80284443,424.90525159,4264.35639484,217.31895762,805.33188258,110032.81052424,1.26429,102.2801,2.09,2391399.7,146533.9
2007-11,1.6485,1.6522,1.1234,1.1203,49201.89697584,32289.50182651,404.58203253,4187.84187401,282.75175842,802.92585442,109769.94024061,1.770191,102.2695,2.06,2400436.72872134,147051.028274541
2007-12,1.6586,1.6571,1.1391,1.1264,50586.26105037,34775.54281083,405.96031361,4130.66157438,273.13328661,919.81357243,126926.89345044,2.004008,102.2118,2,2408018.88185195,147520.08406424
2008-01,1.6189,1.6066,1.1008,1.0823,49729.0062847,34440.15617896,393.83887851,4008.1523296,271.95188861,847.13136471,116967.2375345,2.426292,102.0731,2.38,2413733,148056.9
2008-02,1.6087,1.5952,1.0908,1.0483,49810.14135496,34218.63403761,387.06289691,3916.4002234,271.95188861,847.20935637,114422.04265202,2.364594,101.9452,2.32,2417297.13300962,148735.348157441
2008-03,1.5711,1.5698,1.012,0.9929,47295.68321066,33265.21714903,372.27122509,3926.3340598,251.28139596,954.35382949,127287.72456505,2.630892,101.8915,2.62,2418954.16766844,149461.458391045
2008-04,1.5954,1.6141,1.0125,1.0372,46843.31803673,32854.21216009,370.9424723,3831.19518311,249.38226001,548.92462812,122099.61755385,2.283981,101.8741,1.83,2419078.2,150099.3
2008-05,1.6245,1.6275,1.0435,1.0514,47494.51442326,32513.42714062,433.98125065,3836.71052475,253.80513041,832.99277886,131573.64556703,2.8555,101.7647,1.95,2417974.61331425,150525.834651247
2008-06,1.6138,1.6057,1.0373,1.0155,47778.62115857,32848.2221231,425.67253039,3774.3396203,292.15233531,1099.14740064,136926.98541917,2.911658,101.5345,1.82,2415673.94006688,150669.593482695
2008-07,1.6186,1.6345,1.0261,1.047,46725.30286009,32408.63703331,424.83367804,3714.2993727,291.01883651,845.69437856,132150.60844502,3.074772,101.2873,1.97,2412138,150472
2008-08,1.6204,1.6134,1.0839,1.0935,47866.58148811,32013.12538533,424.93367804,3679.4707158,291.01883651,848.06677667,131076.89009385,2.921472,100.9754,1.98,2406909.00262227,149908.805830164
2008-09,1.5945,1.5781,1.1097,1.0986,49664.88182926,32862.66120685,459.25226078,3751.91132653,302.51091798,863.18072395,163643.90115742,2.927221,100.5072,1.7,2397850.71650846,149093.075085581
2008-10,1.5202,1.4629,1.1421,1.1489,49246.76449135,32812.00697688,458.37634643,3655.61445888,299.57452488,818.41372207,191405.82361167,2.598069,99.89877,0.3,2382407.3,148172.2
2008-11,1.5152,1.5478,1.1894,1.2026,47939.36140324,32812.00450259,767.33814799,3584.82221726,298.38525248,806.56730139,196357.04122052,1.452157,99.18888,0.05,2359648.36508562,147283.930916988
2008-12,1.5397,1.4873,1.1463,1.0562,47428.75508128,30861.60482998,724.7414325,3596.7295089,326.26762474,3467.9081074,214322.63245416,0.7010068,98.48872,0.01,2335145.33834364,146527.450619419
2009-01,1.494,1.4866,1.1287,1.1552,46451.52872245,30829.8059183,786.98575692,3529.94883865,317.59467339,821.65486274,193481.96532681,0.13908,97.82565,0,2316095.1,145992.3
2009-02,1.4905,1.4852,1.1651,1.1722,46470.09210306,30835.43923201,786.98575692,3531.44789947,313.88045599,830.89788871,201274.77000654,0.2375163,97.16973,0,2307727.81110944,145746.951983368
2009-03,1.5068,1.516,1.1553,1.1415,55846.18730751,34898.82549548,794.22520524,4684.41133975,327.09018615,1214.15418374,238621.01001867,-0.4241361,96.71212,0.05,2307406.75604281,145775.607621923
2009-04,1.5151,1.5103,1.1482,1.1306,55764.49945974,34863.58580013,793.75071879,5364.84157319,325.89764495,806.99685925,245363.12393273,-0.3337536,96.55392,0.05,2310528.5,146041.4
2009-05,1.5118,1.5135,1.1086,1.0808,57284.68307085,34863.45955773,1110.2544568,5839.74935853,336.5974768,801.48345515,236235.03427234,-0.961154,96.66705,0.05,2313453.50899519,146488.750038428
2009-06,1.5145,1.5241,1.081,1.0815,81706.31634186,33882.10379436,1092.94839685,6239.3471195,343.44276307,806.09936624,242176.49398717,-0.9510052,96.8921,0.05,2316397.85229991,146987.230004001
2009-07,1.5202,1.5342,1.0796,1.0883,81485.16295302,33849.92247872,1092.35715955,6287.42261562,332.3876388,816.40302221,216500.95456031,-1.177709,97.2033,0.05,2320541.5,147387.7
2009-08,1.524,1.5162,1.0689,1.0618,81705.70527085,33816.32246384,1092.44398614,6289.29910138,340.9080017,821.1550375,220004.82804074,-0.8100511,97.53338,0.05,2326561.46031719,147595.866381436
2009-09,1.5148,1.5096,1.0406,1.0327,82105.19364741,34669.8133713,1241.9382228,6677.8331291,339.03874032,888.37350245,205727.98984942,-0.9224877,97.94824,0.05,2333122.89401681,147736.820510223
2009-10,1.514,1.5102,1.0216,1.0178,90061.34527015,34640.04818893,1241.55324575,6516.65815026,338.32569632,790.25132488,208561.20555241,-0.8336549,98.36162,0.05,2338388,147990.5
2009-11,1.5104,1.5073,1.0123,1.0018,95202.84178041,34554.41599028,1241.55324575,6464.10711363,337.22607512,790.11130256,212433.46053626,0.02391149,98.77603,0.05,2341266.60158786,148481.254806197
2009-12,1.5025,1.4844,1.0283,1.0293,94680.21474754,38185.63005709,1230.76371367,6542.71562535,348.85955356,836.31490169,207263.83132262,0.2826881,99.16017,0.05,2343659.01978103,149111.084251405
2010-01,1.4767,1.4678,1.0337,1.0504,93894.82456642,38118.59982722,1230.37090332,6440.34014146,345.08070896,788.69325173,195312.58993231,1.023746,99.4974,0.05,2348213.2,149726.4
2010-02,1.4673,1.4633,1.0715,1.0772,108929.83720612,38058.54524162,1230.37090332,6438.14901161,361.39175906,773.03414408,195565.22674404,0.9327145,99.83177,0.05,2356694.88518319,150208.510690069
2010-03,1.4484,1.4308,1.0668,1.0646,125088.59055696,39450.11395519,1210.56555083,6593.99412035,360.3057081,788.38689092,208904.08568229,1.39971,100.0969,0.05,2367341.00834059,150578.312854529
